"descricao","favela","urbano_sem_fav","urbano"
"% Idosos dentre população total",12,22.7,20.3
"% Pretas ou Pardos dentre população total",70.6,49.5,54.1
"Taxa de alfabetização população total",95,98.4,97.7
"% de idosos alfabetizados dentre alfabetizados",13.8,26.2,23.7
"Taxa de alfabetização dentre idosos",85.7,96.4,95
"Taxa de alfabetização dentre idosos pretos ou pardos",84.7,95.1,93
"% de idosos pretos ou pardos sobre total de idosos",68.9,41.1,44.7
"% de idosos com 70 anos ou mais sobre total de idosos",37.1,48.2,46.8
"% de idosos com 80 anos ou mais sobre total de idosos",10,17.1,16.2
"% de idosos com 70 anos ou mais sobre total da população",4.4,10.9,9.5
"% de idosos com 80 anos ou mais sobre total da população",1.2,3.9,3.3
"% sexo feminino dentre idosos",58.7,60.8,60.5
"% sexo feminino dentre pessoas com 70 anos ou mais",62.5,64.3,64.1
"% sexo feminino dentre pessoas com 80 anos ou mais",71.7,69.2,69.4
"% sexo feminino dentre pessoas com 15 anos ou mais",53.4,55.2,54.9
"Taxa de alfabetização feminina geral",95.2,98.4,97.7
"Taxa de alfabetização masculina geral",95.1,98.5,97.7
"Taxa de alfabetização feminina entre idosas",85,96.5,95.1
"Taxa de alfabetização masculina idosos",88,97.5,96.2
"Razão de dependência",18.1,36.5,32.3
"Índice envelhecimento",55.2,147.2,121.2
