"descricao","favela","urbano_sem_fav","urbano"
"% Idosos dentre população total",11.9,22.5,20.2
"% Pretas ou Pardos dentre população total",70.8,49.7,54.3
"Taxa de alfabetização população total",94.9,98.4,97.7
"% de idosos alfabetizados dentre alfabetizados",13.5,26.2,23.6
"Taxa de alfabetização dentre idosos",84.2,97.1,95.5
"Taxa de alfabetização dentre idosos pretos ou pardos",84.4,95,92.9
"% de idosos pretos ou pardos sobre total de idosos",69.2,41.2,44.8
"% de idosos com 70 anos ou mais sobre total de idosos",36,48.5,46.9
"% de idosos com 80 anos ou mais sobre total de idosos",8.9,17.1,16.1
"% de idosos com 70 anos ou mais sobre total da população",4.3,10.9,9.5
"% de idosos com 80 anos ou mais sobre total da população",1.1,3.9,3.2
"% sexo feminino dentre idosos",56.3,61,60.4
"% sexo feminino dentre pessoas com 70 anos ou mais",58.7,63.9,63.4
"% sexo feminino dentre pessoas com 80 anos ou mais",62.2,68.3,67.9
"% sexo feminino dentre pessoas com 15 anos ou mais",52.9,55,54.6
"Taxa de alfabetização feminina geral",94.9,98.3,97.6
"Taxa de alfabetização masculina geral",94.7,98.4,97.6
"Taxa de alfabetização feminina entre idosas",82.6,96.4,94.7
"Taxa de alfabetização masculina idosos",85.3,97.3,95.7
"Razão de dependência",17.9,36.1,31.9
